reward_mode,gamma,epsilon_schedule,seed,row,column,has_key,q_up,q_down,q_left,q_right,max_q,best_action,is_terminal
sparse,0.5,linear,3,4,8,1,-0.19932221871944888,-0.19865311365750796,-0.19929582008008825,-0.19950421566882065,-0.19865311365750796,down,False
sparse,0.5,linear,3,4,9,0,-0.19948338309086844,-0.19943311743326164,-0.19853308229301259,-0.1995047390135718,-0.19853308229301259,left,False
sparse,0.5,linear,3,4,9,1,-0.19939847391712062,-0.19931690376653935,-0.19928338670502077,-0.1993905014508732,-0.19928338670502077,left,False
sparse,0.5,linear,3,4,10,0,-0.1997015300199494,-0.19959159288237405,-0.19923511768246147,-0.19982336800740086,-0.19923511768246147,left,False
sparse,0.5,linear,3,4,10,1,-0.19927900055255435,-0.2007802283266556,-0.1993665287367079,-0.1993037745812265,-0.19927900055255435,up,False
sparse,0.5,linear,3,4,11,0,-0.1998170617694561,-0.1998093503432609,-0.19969851369947464,-0.19982341491341685,-0.19969851369947464,left,False
sparse,0.5,linear,3,4,11,1,-0.1991698442985843,-0.19913862745983496,-0.1994941232093077,-0.199173354729068,-0.19913862745983496,down,False
sparse,0.5,linear,3,4,12,0,-0.29702644298030056,-1.154493646282321,-0.19970673864539185,-4.155958315595283,-0.19970673864539185,left,False
sparse,0.5,linear,3,4,12,1,-0.6759291882887571,-0.5527172322363452,-0.19914428211625532,-4.614990118393885,-0.19914428211625532,left,False
sparse,0.5,linear,3,4,13,0,-0.19996771204821293,-0.19998923514739192,-0.19986330125409615,-0.19999338888989196,-0.19986330125409615,left,False
sparse,0.5,linear,3,4,13,1,-0.2431882776393903,-0.5383681472115653,-0.20386441023621418,-0.20763941468257252,-0.20386441023621418,left,False
sparse,0.5,linear,3,4,14,0,-0.6569726197542061,-0.6738754000424969,-4.745168217496514,-0.19999493599877688,-0.19999493599877688,right,False
sparse,0.5,linear,3,4,14,1,-0.9878002901984082,-0.8878302119743766,-3.7296529441719266,-0.19798046804833153,-0.19798046804833153,right,False
sparse,0.5,linear,3,4,15,0,-0.1999946951497821,-0.1999938921432212,-0.1999940939094761,-0.1999937157727511,-0.1999937157727511,right,False
sparse,0.5,linear,3,4,15,1,-0.19792315425833057,-0.1975390696637373,-0.19748773277122514,-0.19790094701408054,-0.19748773277122514,left,False
sparse,0.5,linear,3,4,16,0,-0.2808343749687578,-0.2475391179979845,-0.1999928580273005,-0.9285502549025183,-0.1999928580273005,left,False
sparse,0.5,linear,3,4,16,1,-0.23359333373871463,-0.37957473310781575,-0.19749992978007588,-0.96244791636271,-0.19749992978007588,left,False
sparse,0.5,linear,3,5,1,0,-0.63338103244503,-0.36392342892483326,-0.8764928659538316,-0.8802979992153708,-0.36392342892483326,down,False
sparse,0.5,linear,3,5,1,1,-0.5838238554029521,-0.4419545385015824,-1.0519144437047196,-1.0181229479675222,-0.4419545385015824,down,False
sparse,0.5,linear,3,5,6,0,-0.23449400572416776,-0.22428184650927815,-1.0074603285487995,-0.19961815838539437,-0.19961815838539437,right,False
sparse,0.5,linear,3,5,6,1,-0.3396798744169798,-0.3252580381532726,-0.847148343058624,-0.1996534796648485,-0.1996534796648485,right,False
sparse,0.5,linear,3,5,7,0,-0.19941604258772566,-0.9457854596006624,-0.3278746116062332,-0.2717261686135076,-0.19941604258772566,up,False
sparse,0.5,linear,3,5,7,1,-0.19953992162189202,-1.064114204074867,-0.2926709924393065,-0.30778312105208583,-0.19953992162189202,up,False
sparse,0.5,linear,3,5,8,0,-0.19859928860088416,-0.9113233906106286,-0.2611012815925652,-0.26509017520947364,-0.19859928860088416,up,False
sparse,0.5,linear,3,5,8,1,-0.1993833674343835,-0.6229788895921958,-0.206647159339104,-0.23740622404183317,-0.1993833674343835,up,False
sparse,0.5,linear,3,5,9,0,-0.19926223437634294,-1.0380076930651028,-0.261940789978249,-0.24474913594979952,-0.19926223437634294,up,False
sparse,0.5,linear,3,5,9,1,-0.1995140223557903,-1.0579531852893136,-0.3019620663936956,-0.4269623701029522,-0.1995140223557903,up,False
sparse,0.5,linear,3,5,10,0,-0.19954698423518025,-0.8773932805280703,-0.2382029272020989,-0.3030294951043444,-0.19954698423518025,up,False
sparse,0.5,linear,3,5,10,1,-0.19924540616364025,-0.850829301349316,-0.4211446661247288,-0.2293084912604037,-0.19924540616364025,up,False
sparse,0.5,linear,3,5,11,0,-0.19982162252664165,-0.22547232156803917,-0.20123518412973246,-0.20580778629830523,-0.19982162252664165,up,False
sparse,0.5,linear,3,5,11,1,-0.19884928601658844,-0.24811881714841183,-0.21043367383203385,-0.20185251501964807,-0.19884928601658844,up,False
sparse,0.5,linear,3,5,12,0,-0.19986309678897912,-0.19998786275016267,-0.1998481620987208,-0.1999880295151556,-0.1998481620987208,left,False
sparse,0.5,linear,3,5,12,1,-0.19838418846051542,-0.1970701102552246,-0.1979755373160278,-0.19671315618990345,-0.19671315618990345,right,False
sparse,0.5,linear,3,5,13,0,-4.448128585195538,-0.1999865822428588,-0.6659979360313107,-1.0266190914761337,-0.1999865822428588,down,False
sparse,0.5,linear,3,5,13,1,-3.777165214923294,-0.19285050344385865,-0.20228540443619963,-1.13010547930828,-0.19285050344385865,down,False
sparse,0.5,linear,3,5,14,0,-0.199992637166431,-0.1999899516628058,-0.19999018767260177,-0.19999001191159593,-0.1999899516628058,down,False
sparse,0.5,linear,3,5,14,1,-0.19712639448626987,-0.19672646688637357,-0.19658853585089403,-0.19724148359418125,-0.19658853585089403,left,False
sparse,0.5,linear,3,5,15,0,-0.19999249270578667,-0.20083052819884137,-0.1999923229450728,-0.19999386480102774,-0.1999923229450728,left,False
sparse,0.5,linear,3,5,15,1,-0.19941869135087362,-0.22775369851750027,-0.1974683555624109,-0.2174340488903304,-0.1974683555624109,left,False
sparse,0.5,linear,3,5,16,0,-0.2883654466017316,-0.20504805073584254,-0.19999362976279594,-1.005276425016325,-0.19999362976279594,left,False
sparse,0.5,linear,3,5,16,1,-0.25370814963840643,-0.2870464503856144,-0.21448173787355693,-0.9457393393261898,-0.21448173787355693,left,False
sparse,0.5,linear,3,6,1,0,-0.2818308801066265,-0.264239495570076,-0.9617175833800942,-0.21216981651406602,-0.21216981651406602,right,False
sparse,0.5,linear,3,6,1,1,-0.49127444437000256,-0.2882956733850649,-1.0003787781155367,-0.21698263840509371,-0.21698263840509371,right,False
sparse,0.5,linear,3,6,2,0,-1.0026405272712302,-0.197386796649284,-0.2428303368353401,-0.41769168257275324,-0.197386796649284,down,False
sparse,0.5,linear,3,6,2,1,-0.798575189775941,-0.20035538011122053,-0.27297368076865003,-0.25408901329322187,-0.20035538011122053,down,False
