reward_mode,gamma,row,column,has_key,value,best_action,is_terminal
sparse,0.5,4,2,0,-0.31917734554790916,left,False
sparse,0.5,4,2,1,-0.3192062327606976,left,False
sparse,0.5,4,3,0,-0.2108010086784131,up,False
sparse,0.5,4,3,1,-0.21080537959805137,up,False
sparse,0.5,4,4,0,-0.296744589117059,right,False
sparse,0.5,4,4,1,-0.296763657787981,right,False
sparse,0.5,4,5,0,-0.2047703745944358,up,False
sparse,0.5,4,5,1,-0.20481343796886056,up,False
sparse,0.5,4,6,0,-0.19911487474921766,right,False
sparse,0.5,4,6,1,-0.19966847081455819,right,False
sparse,0.5,4,7,0,-0.19792718424382652,right,False
sparse,0.5,4,7,1,-0.19922057511209132,right,False
sparse,0.5,4,8,0,-0.19511808177074963,down,False
sparse,0.5,4,8,1,-0.19816398069436342,down,False
sparse,0.5,4,9,0,-0.19792784867399296,left,False
sparse,0.5,4,9,1,-0.19921999719542607,left,False
sparse,0.5,4,10,0,-0.19912789731138145,left,False
sparse,0.5,4,10,1,-0.1994892797471699,right,False
sparse,0.5,4,11,0,-0.19963170976117556,left,False
sparse,0.5,4,11,1,-0.19880046397784107,down,False
sparse,0.5,4,12,0,-0.19984393563878958,left,False
sparse,0.5,4,12,1,-0.1991948194913466,left,False
sparse,0.5,4,13,0,-0.19993643647538423,left,False
sparse,0.5,4,13,1,-0.19510858646596133,down,False
sparse,0.5,4,14,0,-0.1999994604233184,right,False
sparse,0.5,4,14,1,-0.19729321422850696,right,False
sparse,0.5,4,15,0,-0.19999975435734574,down,False
sparse,0.5,4,15,1,-0.1954222149965228,down,False
sparse,0.5,4,16,0,-0.20001257672014117,left,False
sparse,0.5,4,16,1,-0.1978863425747538,left,False
sparse,0.5,5,1,0,-0.4035692780869338,down,False
sparse,0.5,5,1,1,-0.4046990104336966,down,False
sparse,0.5,5,6,0,-0.19931546093894942,right,False
sparse,0.5,5,6,1,-0.19976392699284207,right,False
sparse,0.5,5,7,0,-0.198552319441972,up,False
sparse,0.5,5,7,1,-0.19945685390472195,up,False
sparse,0.5,5,8,0,-0.19790311454594953,up,False
sparse,0.5,5,8,1,-0.19921097494455595,up,False
sparse,0.5,5,9,0,-0.19856530347049334,up,False
sparse,0.5,5,9,1,-0.19944974689243491,up,False
sparse,0.5,5,10,0,-0.1995698215479541,up,False
sparse,0.5,5,10,1,-0.19962654513792802,up,False
sparse,0.5,5,11,0,-0.19980794333418422,left,False
sparse,0.5,5,11,1,-0.19716554771192266,right,False
sparse,0.5,5,12,0,-0.1999135266818515,left,False
sparse,0.5,5,12,1,-0.19384565093098863,down,False
sparse,0.5,5,13,0,-0.19998869235075267,down,False
sparse,0.5,5,13,1,-0.188210406882427,down,False
sparse,0.5,5,14,0,-0.19999507163554453,left,False
sparse,0.5,5,14,1,-0.18367203253326614,down,False
sparse,0.5,5,15,0,-0.19999786590148208,left,False
sparse,0.5,5,15,1,-0.1891580382025846,down,False
sparse,0.5,5,16,0,-0.19999970462902264,left,False
sparse,0.5,5,16,1,-0.1949928217077147,left,False
sparse,0.5,6,1,0,-0.20803077382961577,right,False
sparse,0.5,6,1,1,-0.21057214967356094,right,False
sparse,0.5,6,2,0,-0.19524252100903605,down,False
sparse,0.5,6,2,1,-0.20057168669488645,down,False
sparse,0.5,6,3,0,-0.1886588092590467,down,False
sparse,0.5,6,3,1,-0.20002067827804343,down,False
sparse,0.5,6,4,0,-0.19425734168477174,down,False
sparse,0.5,6,4,1,-0.19997669153824005,down,False
sparse,0.5,6,5,0,-0.1973506111903531,down,False
sparse,0.5,6,5,1,-0.19994693558286783,down,False
sparse,0.5,6,6,0,-0.19877579317825844,left,False
sparse,0.5,6,6,1,-0.19995365580348526,left,False
sparse,0.5,6,11,0,-0.1999684022383193,right,False
sparse,0.5,6,11,1,-0.1937442650144798,right,False
sparse,0.5,6,12,0,-0.1999630018839508,up,False
sparse,0.5,6,12,1,-0.186442096260913,down,False
sparse,0.5,6,13,0,-0.19998310237389336,left,False
sparse,0.5,6,13,1,-0.17333626227869878,down,False
sparse,0.5,6,14,0,-0.1999923077690886,left,False
sparse,0.5,6,14,1,-0.16200900323244688,down,False
sparse,0.5,6,15,0,-0.19999649779408527,left,False
