reward_mode,gamma,lambda,epsilon_schedule,seed,row,column,has_key,q_up,q_down,q_left,q_right,max_q,best_action,is_terminal
sparse,0.9,0.0,exponential,3,1,1,0,-1.4417675187518,-0.07462606777557725,-1.1265614824779357,-0.5260393372537893,-0.07462606777557725,down,False
sparse,0.9,0.0,exponential,3,1,1,1,-0.9294306033660609,-0.421883042423965,-0.8980170258630813,-0.5524039006933553,-0.421883042423965,down,False
sparse,0.9,0.0,exponential,3,1,2,0,-0.9984926725944793,0.17264454571252122,-0.689769116981584,-0.27527964284112527,0.17264454571252122,down,False
sparse,0.9,0.0,exponential,3,1,2,1,-1.0031719058474668,-0.4935054734719458,-0.508867341438504,-0.4763503535417445,-0.4763503535417445,right,False
sparse,0.9,0.0,exponential,3,1,3,0,-1.5045682755432854,0.4217184538773292,-1.172847391318996,-0.42121454345793763,0.4217184538773292,down,False
sparse,0.9,0.0,exponential,3,1,3,1,-0.9571260151723072,-0.5823242419799345,-0.5377423105756536,-0.674570738230142,-0.5377423105756536,left,False
sparse,0.9,0.0,exponential,3,1,4,0,-1.4631746604574531,0.5483322653496139,-0.6558075133995895,-1.0694965891957091,0.5483322653496139,down,False
sparse,0.9,0.0,exponential,3,1,4,1,-1.1554655670534781,-0.583951788515579,-0.6087987169638922,-0.6695938688123224,-0.583951788515579,down,False
sparse,0.9,0.0,exponential,3,1,5,0,-1.6801376550132434,0.8179123475941387,-0.9964212826483516,-1.1623181594098413,0.8179123475941387,down,False
sparse,0.9,0.0,exponential,3,1,5,1,-1.327839102877965,-0.6501160338035612,-0.7206673629426823,-0.6459592970930608,-0.6459592970930608,right,False
sparse,0.9,0.0,exponential,3,1,6,0,-2.0215270637648124,1.0733358740069185,-1.2110713023626416,-0.9234005608710227,1.0733358740069185,down,False
sparse,0.9,0.0,exponential,3,1,6,1,-1.079243259738155,-0.5985839188629163,-0.6628134351366219,-0.6474822973268918,-0.5985839188629163,down,False
sparse,0.9,0.0,exponential,3,1,7,0,-2.185030496294626,0.2812219311728974,-1.3411847440079288,-1.5154663359967933,0.2812219311728974,down,False
sparse,0.9,0.0,exponential,3,1,7,1,-1.5369500854025853,-0.6073689492820517,-0.6043040760366023,-0.7908378790224496,-0.6043040760366023,left,False
sparse,0.9,0.0,exponential,3,1,8,0,-1.9009838323950579,-0.6041140265000637,-1.3278553877129375,-1.3663071270833875,-0.6041140265000637,down,False
