reward_mode,gamma,epsilon_schedule,seed,episode,step,state_row,state_column,has_key_before,selected_action,executed_action,reward,next_row,next_column,has_key_after,done,event,epsilon,alpha,old_q,next_max_q,td_target,td_error,new_q
sparse,0.9,linear,3,3000,12,10,1,0,down,down,-0.1,11,1,0,False,normal_move,0.05,0.1,15.310031231958776,17.70249345062596,15.832244105563364,0.5222128736045875,15.362252519319235
sparse,0.9,linear,3,3000,13,11,1,0,right,right,-0.1,11,2,0,False,normal_move,0.05,0.1,17.70249345062596,20.273057548845028,18.145751793960525,0.44325834333456626,17.746819284959415
sparse,0.9,linear,3,3000,14,11,2,0,right,up,-0.1,10,2,0,False,normal_move,0.05,0.1,17.127350445698596,17.13164106854881,15.318476961693928,-1.8088734840046676,16.94646309729813
sparse,0.9,linear,3,3000,15,10,2,0,down,right,-0.1,10,3,0,False,normal_move,0.05,0.1,17.13164106854881,13.947400340263256,12.45266030623693,-4.678980762311879,16.663742992317623
sparse,0.9,linear,3,3000,16,10,3,0,left,left,-0.1,10,2,0,False,normal_move,0.05,0.1,13.947400340263256,16.663742992317623,14.89736869308586,0.949968352822605,14.042397175545517
sparse,0.9,linear,3,3000,17,10,2,0,down,down,-0.1,11,2,0,False,normal_move,0.05,0.1,16.663742992317623,20.273057548845028,18.145751793960525,1.4820088016429018,16.811943872481912
sparse,0.9,linear,3,3000,18,11,2,0,down,down,10.0,12,2,1,False,key_collected,0.05,0.1,20.273057548845028,11.623611157109568,20.461250041398614,0.18819249255358628,20.291876798100386
sparse,0.9,linear,3,3000,19,12,2,1,down,down,-0.1,13,2,1,False,normal_move,0.05,0.1,11.623611157109568,13.097991318826443,11.6881921869438,0.06458102983423153,11.630069260092991
sparse,0.9,linear,3,3000,20,13,2,1,right,up,-0.1,12,2,1,False,normal_move,0.05,0.1,13.097991318826443,11.630069260092991,10.367062334083693,-2.73092898474275,12.824898420352168
sparse,0.9,linear,3,3000,21,12,2,1,down,right,-0.1,12,3,1,False,normal_move,0.05,0.1,11.630069260092991,13.777905435902252,12.300114892312028,0.6700456322190362,11.697073823314895
