reward_mode,gamma,lambda,trace_type,epsilon_schedule,seed,episode,step,state_row,state_column,has_key_before,selected_action,executed_action,reward,next_row,next_column,has_key_after,next_action,done,event,epsilon,alpha,current_old_q,next_action_q,td_target,td_error,trace_row,trace_column,trace_has_key,trace_action,eligibility_before_decay,eligibility_after_decay,trace_old_q,update_amount,trace_new_q,active_traces_before_decay,active_traces_after_decay
sparse,0.9,0.7,replacing,exponential,3,3000,1,1,1,0,right,right,-0.1,1,2,0,down,False,normal_move,0.05,0.1,0.25007573027002855,0.4808008235004825,0.33272074115043426,0.08264501088040571,1,1,0,right,1.0,0.63,0.25007573027002855,0.008264501088040572,0.2583402313580691,1,1
sparse,0.9,0.7,replacing,exponential,3,3000,2,1,2,0,down,down,-0.1,2,2,0,up,False,normal_move,0.05,0.1,0.4808008235004825,-0.24645947176724625,-0.32181352459052165,-0.8026143480910042,1,1,0,right,0.63,0.39690000000000003,0.2583402313580691,-0.050564703929733265,0.20777552742833583,2,2
sparse,0.9,0.7,replacing,exponential,3,3000,2,1,2,0,down,down,-0.1,2,2,0,up,False,normal_move,0.05,0.1,0.4808008235004825,-0.24645947176724625,-0.32181352459052165,-0.8026143480910042,1,2,0,down,1.0,0.63,0.4808008235004825,-0.08026143480910042,0.40053938869138206,2,2
sparse,0.9,0.7,replacing,exponential,3,3000,3,2,2,0,up,left,-0.1,2,1,0,right,False,normal_move,0.05,0.1,-0.24645947176724625,0.5219762126785866,0.369778591410728,0.6162380631779742,1,1,0,right,0.39690000000000003,0.250047,0.20777552742833583,0.0244584887275338,0.23223401615586964,3,3
sparse,0.9,0.7,replacing,exponential,3,3000,3,2,2,0,up,left,-0.1,2,1,0,right,False,normal_move,0.05,0.1,-0.24645947176724625,0.5219762126785866,0.369778591410728,0.6162380631779742,1,2,0,down,0.63,0.39690000000000003,0.40053938869138206,0.03882299798021238,0.43936238667159444,3,3
sparse,0.9,0.7,replacing,exponential,3,3000,3,2,2,0,up,left,-0.1,2,1,0,right,False,normal_move,0.05,0.1,-0.24645947176724625,0.5219762126785866,0.369778591410728,0.6162380631779742,2,2,0,up,1.0,0.63,-0.24645947176724625,0.06162380631779743,-0.18483566544944882,3,3
sparse,0.9,0.7,replacing,exponential,3,3000,4,2,1,0,right,down,-0.1,3,1,0,right,False,normal_move,0.05,0.1,0.5219762126785866,-1.3437868115738458,-1.3094081304164613,-1.8313843430950478,1,1,0,right,0.250047,0.15752961000000001,0.23223401615586964,-0.04579321608378875,0.1864408000720809,4,4
sparse,0.9,0.7,replacing,exponential,3,3000,4,2,1,0,right,down,-0.1,3,1,0,right,False,normal_move,0.05,0.1,0.5219762126785866,-1.3437868115738458,-1.3094081304164613,-1.8313843430950478,1,2,0,down,0.39690000000000003,0.250047,0.43936238667159444,-0.07268764457744246,0.36667474209415196,4,4
sparse,0.9,0.7,replacing,exponential,3,3000,4,2,1,0,right,down,-0.1,3,1,0,right,False,normal_move,0.05,0.1,0.5219762126785866,-1.3437868115738458,-1.3094081304164613,-1.8313843430950478,2,2,0,up,0.63,0.39690000000000003,-0.18483566544944882,-0.11537721361498803,-0.30021287906443683,4,4
sparse,0.9,0.7,replacing,exponential,3,3000,4,2,1,0,right,down,-0.1,3,1,0,right,False,normal_move,0.05,0.1,0.5219762126785866,-1.3437868115738458,-1.3094081304164613,-1.8313843430950478,2,1,0,right,1.0,0.63,0.5219762126785866,-0.1831384343095048,0.3388377783690818,4,4
